Timestamp,Pitch,Roll,Yaw
2025-01-01T00:24:25.911414,185.71,-23.31,-16.1
2025-01-01T00:24:26.126290,21.91,105.91,-22.54
2025-01-01T00:24:26.340340,-14.21,-39.83,3.15
2025-01-01T00:24:26.560136,-56.56,267.68,36.12
2025-01-01T00:24:26.750746,-31.29,172.41,35.7
2025-01-01T00:24:27.035850,-4.55,-106.82,-18.2
2025-01-01T00:24:27.305325,-2.17,19.53,2.52
2025-01-01T00:24:27.537125,-10.15,22.12,-21.28
2025-01-01T00:24:27.768586,-41.37,8.19,38.29
2025-01-01T00:24:27.969109,10.64,-233.17,-17.36
2025-01-01T00:24:28.185217,-4.9,-232.82,15.82
2025-01-01T00:24:28.385706,-25.13,-215.88,0.91
2025-01-01T00:24:28.586011,-7.35,48.09,-15.4
2025-01-01T00:24:28.802127,-38.64,615.65,22.26
2025-01-01T00:24:29.002651,31.64,239.75,87.92
2025-01-01T00:24:29.209518,29.89,41.79,137.41
2025-01-01T00:24:29.425630,-37.66,-125.3,7.63
2025-01-01T00:24:29.610354,-80.01,-59.36,9.66
2025-01-01T00:24:29.826464,78.05,-183.96,-74.27
2025-01-01T00:24:30.042570,318.01,-256.83,-186.41
2025-01-01T00:24:30.343113,38.15,-19.6,-25.55
2025-01-01T00:24:30.564167,1.89,2.87,1.26
2025-01-01T00:24:30.759114,-22.54,-31.78,10.29
2025-01-01T00:24:30.959599,0.98,-11.55,-5.95
2025-01-01T00:24:31.191325,-6.23,1.26,0.56
2025-01-01T00:24:31.391846,-325.64,88.41,9.73
2025-01-01T00:24:31.592167,-184.03,85.33,-26.88
2025-01-01T00:24:31.792656,4.2,-19.04,6.02
2025-01-01T00:24:31.993137,11.9,-20.02,7.21
2025-01-01T00:24:32.215692,12.39,-6.16,3.99
2025-01-01T00:24:32.431805,412.44,-173.46,-120.4
2025-01-01T00:24:32.632290,27.37,-23.52,-1.96
2025-01-01T00:24:32.832782,-20.51,21.0,3.43
2025-01-01T00:24:33.048896,-49.14,-489.23,1.26
2025-01-01T00:24:33.249382,-7.21,-302.19,3.71
2025-01-01T00:24:33.460191,2.52,5.32,-1.96
2025-01-01T00:24:33.680963,7.91,85.68,-7.49
2025-01-01T00:24:33.919200,-3.99,558.04,-16.45
2025-01-01T00:24:34.081942,0.0,255.64,23.1
2025-01-01T00:24:34.282423,-0.98,184.87,14.56
2025-01-01T00:24:34.551783,-7.56,-48.65,-6.51
2025-01-01T00:24:34.836895,1.12,-861.91,-33.18
2025-01-01T00:24:35.121975,-21.0,-188.16,-4.97
2025-01-01T00:24:35.338084,-1.89,-3.43,-3.08
2025-01-01T00:24:35.554120,-9.52,561.33,-8.4
2025-01-01T00:24:35.901714,-2.31,489.09,20.44
2025-01-01T00:24:36.070986,-6.93,-27.09,-10.43
2025-01-01T00:24:36.287096,4.69,-541.45,-9.73
2025-01-01T00:24:36.576225,-21.7,-283.85,-1.05
2025-01-01T00:24:36.788189,-5.18,-36.82,-1.96
2025-01-01T00:24:36.988721,9.38,303.87,-31.01
2025-01-01T00:24:37.189209,-15.61,442.19,-3.5
2025-01-01T00:24:37.389693,7.28,189.63,7.98
2025-01-01T00:24:37.620944,-2.8,-3.15,-3.85
2025-01-01T00:24:37.928179,10.01,-367.36,4.62
2025-01-01T00:24:38.128294,-6.09,21.0,-2.1
2025-01-01T00:24:38.328779,-4.41,18.97,0.35
2025-01-01T00:24:39.061746,-1.68,0.42,-0.56
2025-01-01T00:24:39.262233,-0.35,1.33,-1.33
2025-01-01T00:24:39.590311,-2.17,2.45,0.28
2025-01-01T00:24:39.809371,-82.18,40.46,-23.24
2025-01-01T00:24:39.994238,-190.47,63.0,-53.97
2025-01-01T00:24:40.232478,-100.1,16.94,-28.77
2025-01-01T00:24:40.780245,-8.19,-22.89,5.18
2025-01-01T00:24:41.034103,157.43,2.87,52.5
2025-01-01T00:24:41.249851,172.9,-39.34,31.01
2025-01-01T00:24:41.481562,49.49,0.91,25.83
2025-01-01T00:24:42.114257,-1.89,-2.24,-2.24
2025-01-01T00:24:42.352511,-185.08,46.76,-52.22
2025-01-01T00:24:42.587769,-51.38,31.5,-15.4
2025-01-01T00:24:42.799753,53.06,-23.24,41.23
2025-01-01T00:24:43.000246,253.68,-1.26,70.98
2025-01-01T00:24:43.231979,175.91,65.94,5.67
2025-01-01T00:24:43.438697,26.11,17.36,-8.33
2025-01-01T00:24:43.616657,-10.78,-3.57,1.47
2025-01-01T00:24:43.854904,-46.41,-11.9,1.4
2025-01-01T00:24:44.139652,-1.61,0.56,-1.89
2025-01-01T00:24:44.387018,-15.33,-7.42,-6.93
2025-01-01T00:24:44.690721,-28.7,-32.69,-28.98
2025-01-01T00:24:44.866812,0.07,0.28,-0.42
2025-01-01T00:24:45.067295,-5.53,21.77,-2.31
2025-01-01T00:24:45.299059,-30.66,83.3,-9.31
2025-01-01T00:24:45.515941,3.29,-9.94,-2.94
2025-01-01T00:24:45.799904,-0.42,1.82,-0.28
2025-01-01T00:24:46.000399,-1.96,0.21,-0.14
2025-01-01T00:24:46.216511,-3.15,-0.84,-0.21
2025-01-01T00:24:46.416996,-2.24,2.94,-0.21
2025-01-01T00:24:46.632678,-1.89,1.05,-0.84
2025-01-01T00:24:47.434194,-0.7,2.94,0.21
2025-01-01T00:24:47.656810,-2.66,-0.56,-0.7
2025-01-01T00:24:47.872923,-1.61,-0.35,-0.42
2025-01-01T00:24:48.057778,-1.68,1.26,-0.7
2025-01-01T00:24:48.289512,-0.91,1.19,0.21
2025-01-01T00:24:48.497683,-1.05,2.59,-0.21
2025-01-01T00:24:48.806159,-1.82,1.89,-0.91
2025-01-01T00:24:49.037941,-1.96,1.26,-0.42
2025-01-01T00:24:49.222802,-0.98,0.14,-0.84
2025-01-01T00:24:49.407667,-0.56,3.43,-0.7
2025-01-01T00:24:49.623791,-1.4,-0.28,-0.77
2025-01-01T00:24:49.940176,-2.38,0.91,0.98
2025-01-01T00:24:50.463014,-0.84,-0.28,-1.19
2025-01-01T00:24:50.663191,-1.26,3.08,-0.77
2025-01-01T00:24:50.863681,-1.61,1.89,-0.91
2025-01-01T00:24:51.079793,-2.31,1.61,-0.84
2025-01-01T00:24:51.280317,-0.84,-3.22,-1.19
2025-01-01T00:24:51.595793,-1.68,0.98,-0.14
2025-01-01T00:24:51.796783,-2.8,-1.19,-0.7
2025-01-01T00:24:52.113170,-2.31,1.19,-0.21
2025-01-01T00:24:52.313661,-1.75,1.68,-0.98
2025-01-01T00:24:52.548850,-1.82,2.03,-1.12
2025-01-01T00:24:52.729997,-3.15,6.37,-0.49
2025-01-01T00:24:52.957775,-0.42,-1.96,-1.4
2025-01-01T00:24:53.157190,-1.26,0.07,-1.05
2025-01-01T00:24:53.451728,-0.56,1.54,-1.54
2025-01-01T00:24:53.669843,-2.52,2.66,-0.35
2025-01-01T00:24:53.901584,-1.4,0.49,-0.21
2025-01-01T00:24:54.186693,-0.84,-2.73,-1.47
2025-01-01T00:24:54.402798,-1.75,8.26,-4.76
2025-01-01T00:24:54.608930,-1.82,-2.03,0.07
2025-01-01T00:24:54.803419,-1.05,0.63,-1.05
2025-01-01T00:24:55.003908,-1.4,1.82,-1.26
2025-01-01T00:24:55.235637,-2.66,4.48,-0.98
2025-01-01T00:24:55.605247,-2.24,-1.12,-0.63
2025-01-01T00:24:55.868222,63.21,53.27,-107.17
2025-01-01T00:24:56.058888,-15.89,-37.94,-27.58
2025-01-01T00:24:56.291397,-2.8,20.44,-10.78
2025-01-01T00:24:56.476259,-1.89,6.3,2.59
2025-01-01T00:24:56.676751,1.54,7.14,-6.16
2025-01-01T00:24:56.877240,-0.28,1.26,-2.94
2025-01-01T00:24:57.178011,-2.94,-29.4,1.61
2025-01-01T00:24:57.371988,-20.23,-219.73,4.55
2025-01-01T00:24:57.591139,-20.09,-175.56,2.52
2025-01-01T00:24:57.779175,-19.11,-145.04,-3.5
